"#{""t_start"": 1778824503.1099143"," ""env_id"": ""None""}",
r,l,t
-154.201794,13,8036.032598
-1581.484448,210,8056.210211
-172.872789,13,8065.4388
-4.142577,59,8218.381939
-111.942039,37,8228.734062
-174.277404,39,8239.572024
-251.256482,31,8250.226039
-150.301214,12,8259.528557
-110.310397,43,8270.666708
-128.867762,42,8281.945395
-113.496547,44,8293.032514
-147.60969,15,8302.446738
-141.429309,35,8313.738586
-136.933434,12,8323.798599
-139.965947,12,8332.683811
-118.049044,44,8344.372106
19.134935,78,8357.228008
-218.547985,37,8368.208795
-143.547606,13,8377.067745
-50.73043,38,8387.773824
-194.937064,40,8399.483346
-175.924787,38,8409.843779
-173.442967,40,8421.110068
-161.992907,15,8430.7221
-166.537814,46,8441.197838
-151.818952,13,8450.914075
100.365162,74,8463.561853
-70.065556,38,8474.478344
-1563.525467,182,8493.373446
-140.971776,12,8503.522105
-146.281009,13,8511.962676
-88.631651,41,8522.671044
-99.034775,37,8533.585584
-89.902167,34,8542.94802
-80.402717,41,8553.75967
-1339.245382,164,8689.632788
-138.836999,12,8698.878957
-127.46472,13,8707.649498
-137.141619,13,8717.899075
-143.234357,12,8726.6153
3.900436,53,8737.619998
-246.976891,25,8748.235999
-1429.730148,206,8767.038646
-517.940021,34,8778.428949
-53.946591,40,8789.515236
-146.725012,11,8798.73758
-144.046579,37,8809.368627
-167.234231,34,8819.800176
-259.460625,37,8830.217997
-222.883534,15,8840.534435
-114.072413,47,8851.608551
-45.43673,46,8861.98035
-60.072564,51,8873.260321
-72.331673,40,8883.516457
-220.110271,13,8893.794231
-144.30618,35,8903.550811
-194.099582,37,8914.271204
-175.397491,48,8925.511309
-69.33585,42,8935.506631
-145.504353,11,8945.697307
-250.708388,64,8957.498026
-128.366842,12,8966.211488
-131.307252,12,8975.254548
-127.451502,11,8985.328832
-511.183286,35,8995.275332
-140.313318,15,9004.407632
-126.078761,14,9014.13745
-165.834006,12,9022.981399
-158.9854,12,9032.702485
-167.037904,14,9041.451698
-131.854589,12,9051.108714
-442.546632,37,9061.935886
-157.510262,38,9200.269457
-140.133252,13,9209.51501
-137.142249,12,9218.616432
-2439.106701,266,9241.445986
-186.211104,12,9250.84358
-152.941015,12,9260.404589
-126.645272,35,9271.249449
-121.78561,39,9281.698761
-1759.97036,240,9303.938731
-195.958118,36,9314.961468
-107.017862,43,9325.743561
-179.929167,36,9337.213019
-376.900001,41,9348.254417
-135.77381,11,9357.428935
-132.709096,11,9366.704631
-49.949407,49,9377.627917
-149.601453,47,9388.706477
-143.169352,12,9397.216958
-139.241334,12,9407.138482
-126.542527,59,9418.677211
-138.764747,12,9427.494527
-150.506793,34,9438.406963
-139.408852,11,9447.272594
-97.376101,44,9457.657282
-145.232897,11,9467.471737
-97.697138,51,9477.582164
-139.896343,38,9486.950886
-1433.061947,184,9631.114513
-22.362225,48,9641.828158
-147.140245,13,9651.428382
-145.489228,11,9661.361413
-342.690609,68,9672.619021
-171.129212,33,9682.526367
-235.925884,36,9693.696898
-887.191225,296,9718.751196
-196.781783,37,9728.34278
-140.431746,39,9739.044789
-269.507413,22,9749.361646
-138.407814,11,9758.49176
-106.61922,12,9767.482205
-128.254351,11,9776.226471
-135.263132,13,9785.867805
-589.583546,34,9796.5753
-146.584563,17,9805.47877
-89.256186,34,9815.570257
-122.955281,12,9824.523021
-182.692139,44,9834.429612
-103.741386,56,9845.848436
-4029.053783,402,9992.816432
-162.035095,13,10001.91102
-96.640616,50,10012.7874
-215.657661,34,10024.05063
-21.254801,57,10035.31317
-238.171702,35,10045.2475
-73.135222,36,10055.65839
-133.382285,11,10065.20125
-82.359223,43,10075.15734
-131.314956,12,10084.64127
-121.544143,47,10095.55525
28.717855,42,10105.59751
-1403.906963,166,10122.42244
-156.669956,12,10131.53178
-181.950522,35,10142.68769
-74.95887,38,10152.53816
23.713156,62,10164.30805
-1413.941507,170,10181.73235
-138.701868,11,10191.64312
-143.465056,42,10203.14207
-149.614049,13,10211.47849
-129.382615,42,10222.74677
-61.265001,42,10233.65428
-207.034752,13,10243.00041
-225.931691,40,10253.73779
-1285.178126,161,10396.4318
-9.88179,51,10406.65259
-159.201897,15,10416.58078
-154.571629,46,10427.93243
-160.673298,13,10436.64773
-209.028444,36,10447.22579
-52.258506,45,10458.68536
-121.192975,44,10470.34405
-1251.475389,159,10486.6119
-131.30009,12,10495.12207
-216.347404,39,10506.13428
-247.673203,34,10516.18187
-10.368937,50,10526.58055
-153.896234,12,10536.77859
-1251.721713,158,10553.29843
-135.587408,37,10564.42067
-271.646787,42,10575.42535
-135.011487,14,10583.91012
-192.04425,12,10594.18099
44.172599,61,10606.66569
-148.533369,43,10616.71867
-2092.043771,232,10637.99948
-91.741579,41,10648.23216
-134.16023,11,10657.53828
-1369.817423,168,10808.25574
46.64975,55,10819.8887
-1811.674322,205,10838.57436
-149.928679,59,10850.35459
-124.890233,35,10860.83773
-257.671424,19,10870.47889
-164.698347,13,10880.312
-1463.726144,185,10899.01961
-337.440999,34,10910.0498
-126.515228,12,10919.83799
-231.053019,47,10930.18111
-173.16807,16,10939.96731
-122.19145,35,10950.90628
-1319.756947,164,10967.44073
-135.005508,12,10976.90174
-130.5976,13,10986.85441
-117.999421,14,10996.29327
-323.56408,34,11005.60033
-134.713615,41,11017.04829
-137.97329,50,11028.3225
-162.144514,37,11039.65105
-140.538233,37,11049.89541
-386.518109,48,11194.62445
-127.815296,37,11205.34591
-50.171655,40,11215.58517
-144.988267,12,11225.6071
-152.816901,46,11237.04947
-1369.556159,170,11253.98824
-115.880344,11,11263.37917
-69.048691,41,11273.37192
-138.47931,12,11283.19414
-164.334195,14,11292.68092
-86.638335,40,11303.79188
-315.329492,60,11315.81514
-73.727997,55,11327.35418
-1306.450686,162,11344.15152
30.584525,59,11356.07126
53.535735,60,11366.81723
2.099577,53,11378.39144
-40.138072,41,11389.11203
-57.893288,39,11399.91167
-1480.106714,178,11418.1598
-165.691513,34,11429.64594
-1367.876427,165,11584.09507
-42.289461,61,11595.62901
-192.566501,41,11605.67475
-140.990787,12,11615.85757
-34.742563,57,11627.5172
-70.966529,40,11637.37051
-136.550805,13,11647.70834
-171.606459,38,11658.59656
-99.020751,46,11669.83993
-1289.562152,162,11686.51895
4.620283,62,11697.8149
76.72617,64,11710.30299
-139.969678,26,11721.01384
-210.536778,14,11731.243
274.156425,127,11746.37452
-33.075826,40,11756.03946
-70.599075,37,11766.82793
11.956515,52,11778.35046
-158.202794,42,11790.06256
-146.699763,11,11798.86997
-1335.486829,170,11815.70728
-275.145971,20,11826.17822
-1259.747488,158,11976.23084
-164.67235,12,11986.00299
-83.169169,43,11996.08222
-142.822923,12,12005.74098
-9300.439422,1237,12186.3582
-1312.47186,180,12203.91748
-1401.032332,174,12221.17287
-252.461521,18,12231.73966
-1360.579266,187,12249.60845
-139.917657,12,12258.93723
-127.22463,14,12268.36547
-182.455563,14,12278.66784
-130.95558,12,12288.15033
-83.456759,46,12298.65741
-49.380215,44,12309.12671
-1328.704977,194,12328.05987
-56.83236,57,12340.10774
-159.985679,15,12349.89605
-197.264619,15,12360.25731
-115.840237,13,12368.59679
-108.999863,38,12380.08446
-1311.124694,160,12542.28467
-58.985025,43,12552.76333
-135.161985,12,12562.59007
-110.118218,36,12574.01443
-129.701735,11,12583.16018
-2118.175513,237,12604.89821
-134.404005,12,12613.92548
-125.496223,13,12623.65778
-63.102302,46,12634.99305
-4.308536,57,12647.17252
-1421.52999,165,12663.99783
-12.023317,47,12675.44414
-160.373875,11,12684.54753
-1163.922776,219,12705.69445
-1156.150598,165,12722.74137
-324.628714,35,12732.38262
-228.522395,36,12743.74347
432.282731,124,12758.60001
-145.597786,40,12912.22732
-1300.288495,160,12928.79329
-156.895576,16,12937.94022
-6896.394689,712,12984.86305
-132.350448,12,12994.99991
-142.160067,12,13004.0809
-210.94354,38,13014.54825
-96.050691,40,13025.49724
-166.286926,13,13033.99403
-1273.577765,162,13051.21974
-1532.41728,180,13194.78752
-343.036806,38,13206.08597
-1274.082518,161,13222.35159
-1381.772284,175,13240.12515
-111.68758,54,13252.00815
-169.240063,13,13262.37529
-1407.215979,161,13278.96671
-62.208347,38,13289.58588
-1275.342274,163,13307.44752
-92.97242,45,13317.54286
-1222.437318,161,13334.44199
-164.834477,43,13345.01789
-148.704651,15,13354.54152
-85.694767,81,13367.21757
-19.503011,60,13531.87447
-134.294865,35,13542.3859
-207.652869,34,13553.73854
-90.567253,48,13565.61533
-132.162534,12,13573.8972
-86.466373,44,13584.7482
-166.02644,40,13596.07183
-14.916548,65,13607.8842
-1248.371793,167,13624.82639
-1281.937623,165,13642.16378
-15.283542,55,13653.50556
-221.695797,35,13663.48772
-231.129067,34,13674.84411
-111.09305,46,13686.70549
-201.598367,60,13698.39049
-154.472239,13,13707.6436
6.7639,62,13719.02935
-151.436695,13,13729.16147
-76.825558,43,13739.28629
-153.417201,15,13749.15963
-134.951542,43,13760.90968
-94.796355,43,13772.20503
-78.850068,35,13782.46892
-125.483764,46,13793.12311
-45.548169,43,13803.93453
-1426.580437,166,13946.46496
-78.938218,38,13957.32952
-130.106263,15,13967.67451
-126.840622,12,13976.94497
-20.536734,44,13988.17022
-134.249939,38,13999.3856
-1318.21761,164,14016.16125
-1253.747704,165,14033.23753
-1412.6927,189,14051.48557
-1322.500641,163,14068.68362
-1350.656971,167,14086.88946
-104.447987,43,14096.62979
-1231.399414,164,14259.44476
-118.297827,53,14270.7676
-120.053323,41,14282.12663
-144.555604,13,14290.74267
-52.770835,44,14301.70694
-1225.50994,199,14320.60261
-254.137838,34,14331.57498
-32.745559,42,14342.44651
-116.384871,51,14352.94755
-1311.475967,172,14371.53377
-12284.38808,1500,14582.65153
-71.330567,38,14592.47548
2.435369,42,14603.32578
-31.926893,43,14614.3128
-137.018183,13,14623.42236
-57.334064,55,14635.29662
-15.463079,51,14646.65387
-105.086657,36,14657.15494
-40.786164,38,14666.74614
-129.024036,37,14678.18259
-134.692656,12,14688.05341
-142.368431,13,14696.73334
-246.594751,19,14821.78388
59.707848,77,14833.64075
-70.349276,41,14844.90518
-1607.355512,171,14862.27212
-191.903793,18,14872.61694
-154.329324,35,14883.67965
-305.729961,31,14893.41444
71.93931,67,14905.12853
-220.005883,22,14915.69512
-4199.057883,475,14949.15494
-254.287069,45,14960.41794
-98.118021,35,14971.58953
-1285.45657,157,14987.95826
1.372794,55,14998.31676
-199.134045,14,15008.60407
-1357.40995,158,15161.10784
-90.134172,43,15172.7288
-1333.664741,156,15189.16315
-1345.156754,159,15205.68858
-120.207723,14,15216.11545
-18.364909,64,15228.40388
-235.225559,31,15238.1514
-198.256874,24,15248.56145
-250.526812,28,15259.34597
-240.517366,29,15269.25877
-217.07348,17,15279.81338
-11.415113,48,15291.13286
-3610.786339,377,15319.67251
-1636.122156,176,15470.10098
-212.88528,19,15479.61312
-209.017581,21,15490.34803
-80.809627,40,15501.57702
-30.916446,38,15512.61987
-196.811608,41,15522.65702
-39.536619,46,15533.70926
-1444.947807,166,15550.83935
9.226402,71,15563.4402
-158.27196,56,15574.96401
-208.593023,16,15584.44058
-1382.267364,165,15602.34232
-1334.694536,211,15622.06165
-163.238784,51,15633.63998
-221.841688,35,15643.72453
-71.812056,47,15655.53944
-1388.027823,165,15672.0645
-93.675803,57,15683.54023
-230.733985,33,15832.31288
-145.890416,50,15843.5319
