#{"t_start": 1779948995.375043, "env_id": "None"}
r,l,t
77.24583,47,20407.602905
778.786966,176,20554.536471
-4.496546,61,20565.066758
91.663275,65,20575.689663
185.315992,344,20600.675728
1289.095236,210,20619.058661
-186.934339,12,20628.396834
1880.659593,292,20650.754883
156.479639,58,20661.284322
499.664585,110,20675.283081
-35.12798,46,20836.551114
934.989029,174,20853.245629
-25.067715,47,20863.212038
-9377.686225,1500,21067.22096
1980.377241,301,21089.921588
968.737164,172,21107.014472
928.797389,159,21123.347907
-179.087842,21,21132.775934
-54.673122,36,21142.407929
-248.179723,35,21152.086285
-68.439567,37,21161.919491
774.257984,134,21317.327128
-15.933038,44,21327.9059
-169.502073,13,21337.240306
-242.386601,37,21346.669879
1030.471164,181,21364.096986
-189.381723,25,21373.573961
-50.285728,43,21383.509257
-167.240027,18,21393.138606
1.122149,10,21401.810005
101.001822,53,21412.391521
343.422747,366,21438.484786
-186.994416,17,21447.864814
223.818552,68,21459.09372
205.233211,72,21470.996357
493.399656,107,21483.985521
-119.527694,37,21493.564626
243.214457,72,21504.897025
-142.999027,34,21514.636509
-185.65086,15,21662.492052
-6.836858,58,21673.217433
-185.735894,15,21682.609914
763.449553,158,21698.717108
-7.638936,48,21708.774757
26.912274,42,21718.763878
0.865637,8,21727.192543
721.854618,143,21742.826309
-134.869312,41,21752.761969
1775.47753,271,21774.304743
52.335191,49,21784.245011
269.37409,72,21795.623098
-48.830005,41,21806.060344
897.881001,160,21822.639389
-185.002954,18,21832.027108
-32.928096,50,21842.161966
-7.551486,37,21852.245955
-140.417813,38,21861.881923
1342.502323,218,22029.050339
34.722737,49,22040.013844
-6.539357,38,22049.851495
1849.033549,286,22072.793056
-411.178856,424,22102.518846
212.746278,74,22113.848386
31.067381,40,22123.626668
-87.367478,36,22133.25767
450.30713,106,22146.140414
-79.805412,441,22314.681998
-150.941781,13,22324.086899
707.865601,134,22339.314564
-57.635888,41,22349.144838
-10.723632,39,22359.671453
-148.550526,17,22369.071424
487.851522,102,22381.70625
-136.163153,13,22390.792246
-175.033261,44,22400.479406
-63.328564,36,22410.61231
788.533898,145,22426.391296
-164.762577,33,22436.07625
276.279823,70,22447.5046
-76.043451,36,22457.386854
-149.129669,21,22466.883866
136.268768,52,22477.525074
-49.573072,58,22488.216176
-15.694039,52,22648.079685
-56.779919,38,22657.713414
115.258445,52,22667.890403
43.30817,55,22678.277359
1608.87994,251,22698.462849
1001.757942,175,22716.119366
49.646235,50,22726.94196
1094.334289,194,22744.369812
-28.674091,42,22753.902862
1345.256773,228,22773.790425
-148.951839,29,22783.370451
-143.582406,38,22793.049742
-8.443743,47,22804.028475
-205.263191,36,22813.608589
-142.862846,14,22822.586085
1021.656417,174,22981.712188
-49.223183,43,22992.045336
1206.436396,309,23015.677621
-45.541882,34,23025.907117
-779.54343,225,23044.792399
2152.433952,326,23068.87133
1488.884521,244,23237.693848
-32.473509,40,23247.22674
-231.004797,29,23256.864559
-27.02191,43,23267.559194
1044.709568,189,23284.702015
103.34605,50,23295.292109
41.478208,46,23305.87703
64.945448,50,23315.85743
-190.42893,22,23325.286801
3720.161533,538,23360.974136
-60.743754,38,23371.507253
66.192347,65,23382.983689
186.214875,64,23394.16055
-27.421472,37,23537.455061
155.571133,77,23549.73539
1094.811826,196,23568.026595
-157.882069,58,23578.353273
35.476725,46,23588.431608
62.674345,49,23598.561704
-323.494374,34,23608.887538
-329.814424,34,23619.117616
-188.602944,23,23628.602802
130.730413,51,23638.930316
29.958891,43,23648.871516
107.7231,48,23658.96942
-7.829561,82,23671.704972
-63.631263,36,23681.837881
-87.774477,38,23692.269637
-234.184215,44,23702.151412
-157.97811,40,23711.988892
-117.292086,12,23720.470723
751.991307,149,23736.083321
-38.152108,36,23745.868952
204.36128,76,23757.749914
25.536441,48,23768.036089
-36.485039,39,23778.260001
87.908644,58,23933.327448
-155.225346,35,23943.357312
-154.08098,37,23953.185518
-403.0127,40,23963.011725
6.148946,41,23973.310862
-187.410244,17,23982.745658
2.297027,43,23992.931391
-222.212751,38,24003.402491
-321.862185,33,24013.792554
-113.614977,12,24022.270372
-133.440503,13,24030.804972
518.111408,123,24045.18581
-166.739528,36,24055.416942
23.572593,42,24065.360307
-128.547335,14,24073.691145
-27.601769,36,24083.382447
-241.313741,30,24093.016783
-163.408112,38,24102.500744
45.860202,45,24112.231162
-243.754633,34,24121.908487
66.856603,59,24132.399282
-222.826007,36,24141.794647
-157.061479,17,24151.18362
-211.461943,33,24160.922444
-212.818417,18,24170.314638
-151.380858,23,24179.794523
-114.676219,39,24190.32566
126.434654,46,24200.162579
18.888818,36,24209.760839
-16.352398,36,24219.587242
-127.057269,34,24229.364332
-8.825326,42,24239.098481
60.905302,42,24248.580198
-126.804169,36,24258.717449
-207.115738,28,24268.302334
280.197832,75,24403.290724
3179.036518,456,24433.976513
68.499715,55,24444.47637
-240.691737,26,24454.007772
-197.518514,22,24463.436806
-91.683002,40,24473.918859
170.512374,55,24484.664654
-112.305726,13,24493.953366
1.026068,38,24503.934748
-258.918137,27,24513.47203
46.170423,46,24523.804242
6.916185,39,24533.283388
-236.357072,48,24543.29251
-94.910063,51,24553.475703
11.46887,54,24563.871428
-11.958753,37,24573.962474
651.707433,134,24589.09228
-187.189764,30,24598.717815
4062.518232,579,24769.990503
703.003595,142,24785.670276
-54.59414,43,24795.24444
144.662734,63,24806.280404
-113.71083,12,24815.520532
-190.884148,24,24824.965617
15.672479,41,24834.544688
-136.086818,13,24843.321016
-137.111701,38,24853.754983
-199.854504,22,24863.19837
-254.437822,38,24872.780453
-170.64599,15,24882.182185
-10.550292,38,24892.616738
-35.478521,38,24902.95385
-29.341376,50,24913.486642
148.501596,47,24923.266903
-41.066183,41,24933.602041
483.165801,213,25079.752777
-136.505719,105,25093.428284
-602.54362,332,25118.489874
-186.566306,13,25127.822012
30.860538,51,25137.860055
1318.102938,223,25157.565538
-196.578852,22,25167.015026
416.376567,324,25190.927272
-12.16412,38,25200.962814
2534.704417,949,25404.706335
-8.723277,39,25414.842864
-43.531015,44,25424.524365
17.683901,38,25434.70638
-36.309544,34,25444.59514
1.236039,39,25454.634608
50.342511,50,25465.121334
-188.694319,12,25474.454259
-31.401498,36,25484.30641
133.489832,63,25495.286181
1042.492915,199,25631.218518
166.731728,75,25642.710401
-28.353876,37,25652.932214
-183.413622,33,25662.61946
529.066899,308,25685.574091
-106.640945,40,25696.008083
968.000376,168,25712.094153
63.138481,47,25722.275529
-110.919636,36,25732.563818
1028.484583,180,25749.141168
-4.206098,46,25758.921047
9.236312,59,25769.456387
82.755208,53,25779.736171
31.659496,37,25941.705312
3687.99219,524,25975.727119
-98.202799,35,25985.367402
567.043382,125,26000.054863
-57.09676,38,26010.382871
841.455796,161,26026.911837
781.703429,147,26043.039746
93.995821,60,26053.676011
880.329308,151,26069.627885
10.555541,45,26234.677078
672.391764,135,26250.01883
-86.897624,47,26260.108897
-8518.680016,1500,26463.843344
429.245954,188,26481.633249
-114.20205,14,26491.011462
-193.305783,25,26500.538822
1326.357483,213,26518.622735
-188.27497,41,26528.409622
41.092995,52,26539.395052
